timestamp,message
1764705258262,"Dec  2 19:54:12 ip-10-1-213-244 rec[5063]: {""asn"":""58507"",""city"":""SYDNEY"",""clientIP"":""163.47.122.25"",""correlationID"":""ChM0NzgyOTQ2MDExNDc1ODIxNDg4GiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6CKGhnTenoZ03"",""country"":""AU"",""eventType"":""mlt-sport"",""host"":""rec-blue.prod.streamco.cloud"",""ip"":""163.47.122.25, 23.40.103.183, 23.32.5.37"",""lat"":""-33.88"",""long"":""151.22"",""method"":""GET"",""path"":""/related?genres=Sport%2CFootball\u0026maxRating=PG\u0026source=5487288\u0026jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUwNzMxODIsImlhdCI6MTc2NDcwNTE4MiwianRpIjoiODQ2NmYyYTk5OTA0NGRhZmE2ODliNTk3ZDdlMDVkMTQiLCJyb2xlIjoidXNlciIsInVpZCI6IjAyMmM0ZDQyODRiYTQ3OTc5ODA2ZTQ1MzdiOWY2MjllIiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjQsInByb2ZpbGVJZCI6IjliOTc3MzRkZGYzMTRmOGY4YWJjNGNhYjEyNzU0MmIwIiwicHJvZmlsZU5hbWUiOiJKYW1lcyIsInR6IjoiR01UKzEwOjAwIiwiYXBwIjoiU3Rhbi1BbmRyb2lkVFYiLCJ2ZXIiOiI1LjE1LjAiLCJudWlkIjoiMjBiZGU0YzY4MWEyNGMzZThhOTMwZDRlNDgwMzc4MTYiLCJhcGlkIjoiYWU3MTRhZTktM2MzMC0xNDQxLWUwMDktYWJiNTA3N2Y1NTU1IiwiZmVhdCI6NTg2NTM2ODY4OTIzNTQsInB1cmNoYXNlcyI6NDAyOCwicHJpY2VOYW1lIjoidmlwIn0.-zbp4JybZWe8dv8U-dI-EkxgtDTBG5HJBQXl106Tgh8\u0026tz=GMT%2B10%3A00"",""profileID"":""9b97734ddf314f8f8abc4cab127542b0"",""referer"":"""",""region"":""NSW"",""resultCount"":15,""seedId"":5487288,""serverTime"":1764705252817,""sessionAppName"":""Stan-AndroidTV"",""time"":""2025-12-02T19:54:12.817087462Z"",""userID"":""022c4d4284ba47979806e4537b9f629e"",""user_agent_raw"":""Dalvik/2.1.0 (Linux; U; Android 11; BeyondTV2 Build/PPR1.180610.011)"",""vendor"":""googleexperiment5""}"
1764706632263,"Dec  2 20:17:06 ip-10-1-213-244 rec[5063]: {""asn"":""4764"",""city"":""SYDNEY"",""clientIP"":""159.196.168.251"",""correlationID"":""ChQxNjkyODkwOTE1MDQwMzk4MjY4Nholc3Rhbi1tb3JlLWxpa2UtdGhpcy1jdnJfMTY4OTg5NDgyNzY3OCILbWx0LWN2ci1zcnYoADACOgiooZ03oqGdNw"",""country"":""AU"",""eventType"":""mlt-sport"",""host"":""rec-blue.prod.streamco.cloud"",""ip"":""159.196.168.251, 23.214.88.157, 23.32.5.37"",""lat"":""-33.88"",""long"":""151.22"",""method"":""GET"",""path"":""/related?genres=Sport%2CFootball\u0026maxRating=PG\u0026source=5487288\u0026jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUwNzQ1OTcsImlhdCI6MTc2NDcwNjU5NywianRpIjoiZjY1MWUyN2ViYjRkNDVhZDk5YzZjYTc2YmUzYThkMzciLCJyb2xlIjoidXNlciIsInVpZCI6Ijc1OWQ3Nzg3MThhNTQ3ZmU4OTMwMTVlOGYzYzNlYmRkIiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjQsInByb2ZpbGVJZCI6IjFjOWUyOGUzNGYwZTQwZDA4YzJmMDlhYmZlMjk3ZmViIiwicHJvZmlsZU5hbWUiOiJHdWVzdCIsInR6T2Zmc2V0Ijo2NjAsImFwcCI6IlN0YW4tUGxheVN0YXRpb241IiwidmVyIjoiNy4wLjEiLCJudWlkIjoiMDNjNjA1NjAwZTM1NDczNDgzZjk3YjQwY2ZlOTU1OGMiLCJhcGlkIjoiMjkwMmQzZGUtMzk2ZC03NjVhLTRkZDItZjJiYjYzYTZhYTEyIiwiZmVhdCI6MjM2MjYwODExMDk4MjYsInB1cmNoYXNlcyI6Mzk2OCwicHJpY2VOYW1lIjoidmlwIn0.1cqaT_a9HPyArMW7ZFx5ERODgtAVRoja45yfVkPTPkw\u0026tz=null"",""profileID"":""1c9e28e34f0e40d08c2f09abfe297feb"",""referer"":""https://ps5.stan.app/programs/5487288"",""region"":""NSW"",""resultCount"":15,""seedId"":5487288,""serverTime"":1764706626777,""sessionAppName"":""Stan-PlayStation5"",""time"":""2025-12-02T20:17:06.777883781Z"",""userID"":""759d778718a547fe893015e8f3c3ebdd"",""user_agent_raw"":""Mozilla/5.0 (PlayStation; PlayStation 5/12.20) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15"",""vendor"":""googleexperiment5""}"
1764710512261,"Dec  2 21:21:47 ip-10-1-213-244 rec[5063]: {""asn"":""1221"",""city"":""SYDNEY"",""clientIP"":""1.145.86.172"",""correlationID"":""ChIxMDA4ODIzNzk1NTA1Nzg5NjQaJXN0YW4tbW9yZS1saWtlLXRoaXMtY3ZyXzE2ODk4OTQ4Mjc2NzgiC21sdC1jdnItc3J2KAAwAjoIqKGdN6KhnTc"",""country"":""AU"",""eventType"":""mlt-sport"",""host"":""rec-blue.prod.streamco.cloud"",""ip"":""1.145.86.172, 10.62.156.45, 23.62.156.39, 23.32.5.37"",""lat"":""-33.88"",""long"":""151.22"",""method"":""GET"",""path"":""/related?genres=Sport%2CFootball\u0026maxRating=PG\u0026source=5487288\u0026jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUwNzg0OTIsImlhdCI6MTc2NDcxMDQ5MiwianRpIjoiNjZmNzU0ODI2MjdjNGI1YThmY2M4Y2FiYTYwZTk2YmUiLCJyb2xlIjoidXNlciIsInVpZCI6ImRkZTc5YTIyNjc2MTQxOTQ5NGVkN2Q4OGFiMGNjZGJlIiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjQsInByb2ZpbGVJZCI6ImRkZTc5YTIyNjc2MTQxOTQ5NGVkN2Q4OGFiMGNjZGJlIiwicHJvZmlsZU5hbWUiOiJCZW4iLCJhcHAiOiJTdGFuLWlPUyIsInZlciI6IjQuNDEuMC41NDYiLCJudWlkIjoiZWMxMzY4Yjg3NWZiNDM0NWFmNTg0YWM5YmIxYmFmMWQiLCJhcGlkIjoiNTc0Mjc1M2QtYWU2ZC03YTZlLTlkMzctZWE1NWQ0MDVjNTFiIiwiZmVhdCI6MzM1MDU1Nzk0MTk0OTAsInB1cmNoYXNlcyI6NDAyOCwicHJpY2VOYW1lIjoidmlwIn0.QGws44buhzao0WYKor0bMSkxPc7ooPVCiZyW8comncM"",""profileID"":""dde79a226761419494ed7d88ab0ccdbe"",""referer"":"""",""region"":""NSW"",""resultCount"":15,""seedId"":5487288,""serverTime"":1764710507909,""sessionAppName"":""Stan-iOS"",""time"":""2025-12-02T21:21:47.909239483Z"",""userID"":""dde79a226761419494ed7d88ab0ccdbe"",""user_agent_raw"":""Stan/546 CFNetwork/3826.600.41 Darwin/24.6.0"",""vendor"":""googleexperiment5""}"
1764711441262,"Dec  2 21:37:16 ip-10-1-213-244 rec[5063]: {""asn"":""23854"",""city"":""SYDNEY"",""clientIP"":""203.3.70.182"",""correlationID"":""ChM5NTk2MzI2MDY0MTAyMDQyMTkwGiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6CKKhnTeooZ03"",""country"":""AU"",""eventType"":""mlt-sport"",""host"":""rec-blue.prod.streamco.cloud"",""ip"":""203.3.70.182, 10.214.88.134, 23.214.88.180, 23.32.5.59"",""lat"":""-33.88"",""long"":""151.22"",""method"":""GET"",""path"":""/related?genres=Sport%2CFootball\u0026maxRating=PG\u0026source=5487001\u0026jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUwNjgxNTUsImlhdCI6MTc2NDcwMDE1NSwianRpIjoiMjIwMTU2Y2EwZmFhNDNhMjk3NjRiYjI4OTEyMzk3MDkiLCJyb2xlIjoidXNlciIsInVpZCI6IjFjNWQwYzA3OGUzNzQ5NWFiODBlMDM4N2EzMDFhYjQ3Iiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjQsInByb2ZpbGVJZCI6IjFjNWQwYzA3OGUzNzQ5NWFiODBlMDM4N2EzMDFhYjQ3IiwicHJvZmlsZU5hbWUiOiJDYWx1bSIsInR6IjoiQXVzdHJhbGlhL1N5ZG5leSIsImFwcCI6IlN0YW4tV2ViIiwidmVyIjoiMDdkOWRiOSIsIm51aWQiOiJkOWFkZmRiODI0YjQ0OGE1Yjk1Y2YyN2Q2NjNlOTA0OSIsImFwaWQiOiI5NjdiMGZkYi01MDc3LWY0N2ItOTliYy0zZjU1N2JkMTA5YjkiLCJmZWF0IjozMTk1ODMxNzY2NDA5OCwicHVyY2hhc2VzIjozMDcyLCJwcmljZU5hbWUiOiJ2aXAifQ.qKVmT4gczsfq4sEHVB9qlKNkvEYx-emozK_gsuBVSVg"",""profileID"":""1c5d0c078e37495ab80e0387a301ab47"",""referer"":""https://play.stan.com.au/"",""region"":""NSW"",""resultCount"":15,""seedId"":5487001,""serverTime"":1764711436761,""sessionAppName"":""Stan-Web"",""time"":""2025-12-02T21:37:16.761788157Z"",""userID"":""1c5d0c078e37495ab80e0387a301ab47"",""user_agent_raw"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"",""vendor"":""googleexperiment5""}"
1764711846261,"Dec  2 21:44:01 ip-10-1-213-244 rec[5063]: {""asn"":""23854"",""city"":""SYDNEY"",""clientIP"":""203.3.70.182"",""correlationID"":""ChM5NTk2MzI2MDY0MTAyMDQyMTkwGiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6CKKhnTeooZ03"",""country"":""AU"",""eventType"":""mlt-sport"",""host"":""rec-blue.prod.streamco.cloud"",""ip"":""203.3.70.182, 23.214.88.207, 23.32.5.59"",""lat"":""-33.88"",""long"":""151.22"",""method"":""GET"",""path"":""/related?genres=Sport%2CFootball\u0026maxRating=PG\u0026source=5487001\u0026jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUwNjgxNTUsImlhdCI6MTc2NDcwMDE1NSwianRpIjoiMjIwMTU2Y2EwZmFhNDNhMjk3NjRiYjI4OTEyMzk3MDkiLCJyb2xlIjoidXNlciIsInVpZCI6IjFjNWQwYzA3OGUzNzQ5NWFiODBlMDM4N2EzMDFhYjQ3Iiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjQsInByb2ZpbGVJZCI6IjFjNWQwYzA3OGUzNzQ5NWFiODBlMDM4N2EzMDFhYjQ3IiwicHJvZmlsZU5hbWUiOiJDYWx1bSIsInR6IjoiQXVzdHJhbGlhL1N5ZG5leSIsImFwcCI6IlN0YW4tV2ViIiwidmVyIjoiMDdkOWRiOSIsIm51aWQiOiJkOWFkZmRiODI0YjQ0OGE1Yjk1Y2YyN2Q2NjNlOTA0OSIsImFwaWQiOiI5NjdiMGZkYi01MDc3LWY0N2ItOTliYy0zZjU1N2JkMTA5YjkiLCJmZWF0IjozMTk1ODMxNzY2NDA5OCwicHVyY2hhc2VzIjozMDcyLCJwcmljZU5hbWUiOiJ2aXAifQ.qKVmT4gczsfq4sEHVB9qlKNkvEYx-emozK_gsuBVSVg"",""profileID"":""1c5d0c078e37495ab80e0387a301ab47"",""referer"":""https://play.stan.com.au/"",""region"":""NSW"",""resultCount"":15,""seedId"":5487001,""serverTime"":1764711841762,""sessionAppName"":""Stan-Web"",""time"":""2025-12-02T21:44:01.762221449Z"",""userID"":""1c5d0c078e37495ab80e0387a301ab47"",""user_agent_raw"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"",""vendor"":""googleexperiment5""}"
1764712382261,"Dec  2 21:52:57 ip-10-1-213-244 rec[5063]: {""asn"":""4804"",""city"":""SYDNEY"",""clientIP"":""49.180.193.210"",""correlationID"":""ChQxMjUzMDI1ODI4NDcwMTg2ODM4MRolc3Rhbi1tb3JlLWxpa2UtdGhpcy1jdnJfMTY4OTg5NDgyNzY3OCILbWx0LWN2ci1zcnYoADACOgiooZ03oqGdNw"",""country"":""AU"",""eventType"":""mlt-sport"",""host"":""rec-blue.prod.streamco.cloud"",""ip"":""49.180.193.210, 23.40.103.172, 23.32.5.59"",""lat"":""-33.88"",""long"":""151.22"",""method"":""GET"",""path"":""/related?genres=Sport%2CFootball\u0026maxRating=PG\u0026source=5487288\u0026jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUwODAzNzYsImlhdCI6MTc2NDcxMjM3NiwianRpIjoiMGRhMTM0NjdlZTFhNDYzMWEzNmZhZDE0NGQwOTBhY2YiLCJyb2xlIjoidXNlciIsInVpZCI6Ijc1OWQ3Nzg3MThhNTQ3ZmU4OTMwMTVlOGYzYzNlYmRkIiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjQsInByb2ZpbGVJZCI6Ijc1OWQ3Nzg3MThhNTQ3ZmU4OTMwMTVlOGYzYzNlYmRkIiwicHJvZmlsZU5hbWUiOiJEYW5pZWwiLCJ0eiI6IkF1c3RyYWxpYS9TeWRuZXkiLCJhcHAiOiJTdGFuLUFuZHJvaWQiLCJ2ZXIiOiI0LjQ3LjAuNTgzNzEiLCJudWlkIjoiMDNjNjA1NjAwZTM1NDczNDgzZjk3YjQwY2ZlOTU1OGMiLCJhcGlkIjoiMjkwMmQzZGUtMzk2ZC03NjVhLTRkZDItZjJiYjYzYTZhYTEyIiwiZmVhdCI6MjM0NjkzMTQ4MzYyOTAsInB1cmNoYXNlcyI6Mzk2OCwicHJpY2VOYW1lIjoidmlwIn0.Gw9LVtq_BVZZS8iT_AaIiIujfZNL77iAVkUMLKT_ypE"",""profileID"":""759d778718a547fe893015e8f3c3ebdd"",""referer"":"""",""region"":""NSW"",""resultCount"":15,""seedId"":5487288,""serverTime"":1764712377713,""sessionAppName"":""Stan-Android"",""time"":""2025-12-02T21:52:57.713504517Z"",""userID"":""759d778718a547fe893015e8f3c3ebdd"",""user_agent_raw"":""Stan/Android/4.47.0; Dalvik/2.1.0 (Linux; U; Android 15; SM-S921B Build/AP3A.240905.015.A2)"",""vendor"":""googleexperiment5""}"
1764716988262,"Dec  2 23:09:42 ip-10-1-213-244 rec[5063]: {""asn"":""135887"",""city"":""BRISBANE"",""clientIP"":""123.208.109.77"",""correlationID"":""ChQxNTkyMTk0NzE3MjAzNzU3MTcwNRolc3Rhbi1tb3JlLWxpa2UtdGhpcy1jdnJfMTY4OTg5NDgyNzY3OCILbWx0LWN2ci1zcnYoADACOgiooZ03oqGdNw"",""country"":""AU"",""eventType"":""mlt-sport"",""host"":""rec-blue.prod.streamco.cloud"",""ip"":""123.208.109.77, 10.254.143.207, 60.254.143.68, 23.32.5.37"",""lat"":""-27.50"",""long"":""153.02"",""method"":""GET"",""path"":""/related?genres=Sport%2CFootball\u0026maxRating=PG\u0026source=158892\u0026jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUwODA4NTcsImlhdCI6MTc2NDcxMjg1NywianRpIjoiNTYxMjk3NTA4Nzg0NDA2ZWFkZGJjYzI0YWEwN2Y1YmEiLCJyb2xlIjoidXNlciIsInVpZCI6ImMyODJlNzBkZWE3NDRjMDNiMTAwNDNmZmVmZDVhYmQ1Iiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjQsInByb2ZpbGVJZCI6IjRiN2M4MGI5YWMzYjRjY2RhOGRmYjYzYWNlNmFmYzk5IiwicHJvZmlsZU5hbWUiOiJXb3JrIE5vdiAyNCIsInR6IjoiQXVzdHJhbGlhL1N5ZG5leSIsImFwcCI6IlN0YW4tV2ViIiwidmVyIjoiMDdkOWRiOSIsIm51aWQiOiIyYTM1MTM3NTQ4OWY0NzMyODU5Y2E5ZTQzMWIxNjcwZSIsImFwaWQiOiI4OWI2NDY4MS0zM2M1LTkyMTgtZWE5Ny05ZTgzZjczODA1MjgiLCJmZWF0IjozMTk2MjIwOTk3ODIxMCwicHVyY2hhc2VzIjo4MTI1LCJwcmljZU5hbWUiOiJ2aXAifQ.WPgEgpFVzkxYcSoSLAXTCbOuyUgiDoitoWZ7VvuyWGM"",""profileID"":""4b7c80b9ac3b4ccda8dfb63ace6afc99"",""referer"":""https://play.stan.com.au/"",""region"":""QLD"",""resultCount"":15,""seedId"":158892,""serverTime"":1764716982888,""sessionAppName"":""Stan-Web"",""time"":""2025-12-02T23:09:42.888722687Z"",""userID"":""c282e70dea744c03b10043ffefd5abd5"",""user_agent_raw"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""vendor"":""googleexperiment5""}"
1764717499263,"Dec  2 23:18:14 ip-10-1-213-244 rec[5063]: {""asn"":""135887"",""city"":""BRISBANE"",""clientIP"":""123.208.109.77"",""correlationID"":""ChQxNTkyMTk0NzE3MjAzNzU3MTcwNRolc3Rhbi1tb3JlLWxpa2UtdGhpcy1jdnJfMTY4OTg5NDgyNzY3OCILbWx0LWN2ci1zcnYoADACOgiooZ03oqGdNw"",""country"":""AU"",""eventType"":""mlt-sport"",""host"":""rec-blue.prod.streamco.cloud"",""ip"":""123.208.109.77, 60.254.143.207, 23.32.5.37"",""lat"":""-27.50"",""long"":""153.02"",""method"":""GET"",""path"":""/related?genres=Sport%2CFootball\u0026maxRating=PG\u0026source=158892\u0026started=true\u0026jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUwODA4NTcsImlhdCI6MTc2NDcxMjg1NywianRpIjoiNTYxMjk3NTA4Nzg0NDA2ZWFkZGJjYzI0YWEwN2Y1YmEiLCJyb2xlIjoidXNlciIsInVpZCI6ImMyODJlNzBkZWE3NDRjMDNiMTAwNDNmZmVmZDVhYmQ1Iiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjQsInByb2ZpbGVJZCI6IjRiN2M4MGI5YWMzYjRjY2RhOGRmYjYzYWNlNmFmYzk5IiwicHJvZmlsZU5hbWUiOiJXb3JrIE5vdiAyNCIsInR6IjoiQXVzdHJhbGlhL1N5ZG5leSIsImFwcCI6IlN0YW4tV2ViIiwidmVyIjoiMDdkOWRiOSIsIm51aWQiOiIyYTM1MTM3NTQ4OWY0NzMyODU5Y2E5ZTQzMWIxNjcwZSIsImFwaWQiOiI4OWI2NDY4MS0zM2M1LTkyMTgtZWE5Ny05ZTgzZjczODA1MjgiLCJmZWF0IjozMTk2MjIwOTk3ODIxMCwicHVyY2hhc2VzIjo4MTI1LCJwcmljZU5hbWUiOiJ2aXAifQ.WPgEgpFVzkxYcSoSLAXTCbOuyUgiDoitoWZ7VvuyWGM"",""profileID"":""4b7c80b9ac3b4ccda8dfb63ace6afc99"",""referer"":""https://play.stan.com.au/"",""region"":""QLD"",""resultCount"":15,""seedId"":158892,""serverTime"":1764717494227,""sessionAppName"":""Stan-Web"",""time"":""2025-12-02T23:18:14.227156755Z"",""userID"":""c282e70dea744c03b10043ffefd5abd5"",""user_agent_raw"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""vendor"":""googleexperiment5""}"
1764717876262,"Dec  2 23:24:31 ip-10-1-213-244 rec[5063]: {""asn"":""23854"",""city"":""SYDNEY"",""clientIP"":""203.3.70.182"",""correlationID"":""ChM1Nzc1MTg3NTk2MTIzNjIzMTgzGiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6CKehnTehoZ03"",""country"":""AU"",""eventType"":""mlt-sport"",""host"":""rec-blue.prod.streamco.cloud"",""ip"":""203.3.70.182, 10.214.88.174, 23.214.88.140, 23.32.5.37"",""lat"":""-33.88"",""long"":""151.22"",""method"":""GET"",""path"":""/related?genres=Sport%2CFootball\u0026maxRating=PG\u0026source=5487001\u0026jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUwODIyNjEsImlhdCI6MTc2NDcxNDI2MSwianRpIjoiY2I3ZGE0MzhlZjU5NGVhNzg5ZjM2NWEzNjg2NjliZmQiLCJyb2xlIjoidXNlciIsInVpZCI6IjFjNWQwYzA3OGUzNzQ5NWFiODBlMDM4N2EzMDFhYjQ3Iiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjQsInByb2ZpbGVJZCI6IjFjNWQwYzA3OGUzNzQ5NWFiODBlMDM4N2EzMDFhYjQ3IiwicHJvZmlsZU5hbWUiOiJDYWx1bSIsInR6IjoiQXVzdHJhbGlhL1N5ZG5leSIsImFwcCI6IlN0YW4tV2ViIiwidmVyIjoiMDdkOWRiOSIsIm51aWQiOiJkOWFkZmRiODI0YjQ0OGE1Yjk1Y2YyN2Q2NjNlOTA0OSIsImFwaWQiOiI5NjdiMGZkYi01MDc3LWY0N2ItOTliYy0zZjU1N2JkMTA5YjkiLCJmZWF0IjozMTk1ODMxNzY2NDA5OCwicHVyY2hhc2VzIjozMDcyLCJwcmljZU5hbWUiOiJ2aXAifQ.D7JaTxxRiNsc-cdtZ8lGIt3uZUzwDN7WIaQhX7uf34Q"",""profileID"":""1c5d0c078e37495ab80e0387a301ab47"",""referer"":""https://play.stan.com.au/"",""region"":""NSW"",""resultCount"":15,""seedId"":5487001,""serverTime"":1764717871189,""sessionAppName"":""Stan-Web"",""time"":""2025-12-02T23:24:31.189346318Z"",""userID"":""1c5d0c078e37495ab80e0387a301ab47"",""user_agent_raw"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"",""vendor"":""googleexperiment5""}"
1764719399262,"Dec  2 23:49:54 ip-10-1-213-244 rec[5063]: {""asn"":""23854"",""city"":""SYDNEY"",""clientIP"":""203.3.70.182"",""correlationID"":""ChMzNTY1ODA5MDI2Mzg4MDY3ODI1GiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6CKGhnTenoZ03"",""country"":""AU"",""eventType"":""mlt-sport"",""host"":""rec-blue.prod.streamco.cloud"",""ip"":""203.3.70.182, 23.214.88.174, 23.32.5.37"",""lat"":""-33.88"",""long"":""151.22"",""method"":""GET"",""path"":""/related?genres=Sport%2CFootball\u0026maxRating=PG\u0026source=5487016\u0026jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUwODczNzMsImlhdCI6MTc2NDcxOTM3MywianRpIjoiODNiNjE0ZGU3ODc0NDliZmJiMGJiNGMxYmI1MWZkNjkiLCJyb2xlIjoidXNlciIsInVpZCI6IjYwNWY0ZTgzYTAyMDQ1MGQ4NDVhOWVmZDg1OTg3YTNhIiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjQsInByb2ZpbGVJZCI6ImI3MDY5M2U4YTE3NTQzYWViYmE5ODhmZDg3OTM4ZTVkIiwicHJvZmlsZU5hbWUiOiJUZXN0aW5nIEhvcnNlIiwidHoiOiJBdXN0cmFsaWEvU3lkbmV5IiwiYXBwIjoiU3Rhbi1XZWIiLCJ2ZXIiOiIwN2Q5ZGI5IiwibnVpZCI6IjI1Y2NlMmUxZGVkYjQ2M2U4NGRlOGI0YTZhZTZiODM5IiwiYXBpZCI6IjY1NmEzMjQ2LWQ2Y2UtNjRkYi0wYzI4LWQyYjcxYTAyN2QwNSIsImZlYXQiOjIzNDM3MTAyNTQ4ODAyLCJwdXJjaGFzZXMiOjQwMjQsInByaWNlTmFtZSI6InZpcCJ9.tG2T_W7esOC-4L03OJlJkyZRPrBUXGkAnzTOak5zg6o"",""profileID"":""b70693e8a17543aebba988fd87938e5d"",""referer"":""https://play.stan.com.au/"",""region"":""NSW"",""resultCount"":15,""seedId"":5487016,""serverTime"":1764719394361,""sessionAppName"":""Stan-Web"",""time"":""2025-12-02T23:49:54.361641761Z"",""userID"":""605f4e83a020450d845a9efd85987a3a"",""user_agent_raw"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""vendor"":""googleexperiment5""}"
