timestamp,message
1767649969057,"Jan  5 21:52:48 ip-10-1-152-68 rec[5120]: {""asn"":""4804"",""city"":""SYDNEY"",""clientIP"":""175.32.11.235"",""correlationID"":""ChM0NTY3NjMyMjY1NDUwNjQ2MzI1GiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6ELSFyje6hco3oqGdN6ihnTdCDAiw5fDKBhDdqZqYAg"",""country"":""AU"",""eventType"":""mlt"",""host"":""rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com"",""ip"":""175.32.11.235"",""lat"":""-33.88"",""long"":""151.22"",""method"":""GET"",""path"":""/related?genres=Action%2CSci-Fi\u0026maxRating=M\u0026nonKids=true\u0026source=5453777\u0026vendor=google"",""profileID"":"""",""referer"":""https://www.stan.com.au/watch/venom-let-there-be-carnage-2021?utm_source=tiktok\u0026utm_medium=performance_search\u0026utm_campaign=venom_two\u0026ttclid=E_C_P_CuMB3Ypu7eW-sXCru0S6XNTExiLb0q6W1j0zrqq4Jaldlzrkq8Gxk-dXY-hcN-07em6NqQPu_p3uE9AWOlNU6dOpXjOCZA27yAc54_K-U7ek4qGvWNxHxBGFRMd8HG6ukOwFqGRkQOo6nvuR4EoKEA_NWUmHNG_sCM6lnHQf80qcifGYE3Y-vjAzREaHoarBkzsYTurtRvT0Or-LgXLjV6xO1KB0Ev1ZiUXyd0mxXLExersFN3HQnbuSeKSpdDzwB2tTWx2ORLmgyip_Hjw_j0LGcmAE00CwsTkM7fHDYXZD1qHo1qoSBHYyLjA"",""region"":""NSW"",""resultCount"":0,""seedId"":5453777,""serverTime"":1767649968655,""sessionAppName"":"""",""time"":""2026-01-05T21:52:48.655151836Z"",""userID"":"""",""user_agent_raw"":""Mozilla/5.0 (iPhone; CPU iPhone OS 26_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1 musical_ly_43.0.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/AU isDarkMode/0 WKWebView/1 RevealType/Dialog"",""vendor"":""google""}"
1767649983936,"Jan  5 21:53:03 ip-10-1-177-227 rec[5186]: {""asn"":""1221"",""city"":""MELBOURNE"",""clientIP"":""101.188.100.191"",""correlationID"":"""",""country"":""AU"",""eventType"":""mlt"",""host"":""rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com"",""ip"":""101.188.100.191, 10.84.238.134, 184.84.238.32, 23.62.36.167"",""lat"":""-37.82"",""long"":""144.97"",""method"":""GET"",""path"":""/related?genres=Action%2CBiography\u0026maxRating=M\u0026nonKids=true\u0026source=5328259\u0026tz=Australia%2FSydney"",""profileID"":"""",""referer"":"""",""region"":""VIC"",""resultCount"":0,""seedId"":5328259,""serverTime"":1767649983640,""sessionAppName"":"""",""time"":""2026-01-05T21:53:03.640095662Z"",""userID"":"""",""user_agent_raw"":""Dalvik/2.1.0 (Linux; U; Android 12; Smart TV Build/STT2.230203.001)"",""vendor"":""stan""}"
1767650006131,"Jan  5 21:53:25 ip-10-1-147-153 rec[5218]: {""asn"":""5713"",""city"":""JOHANNESBURG"",""clientIP"":""102.254.144.25"",""correlationID"":""ChMyNjUyMzMyOTc2MDY5MTg1OTM3GiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6ELOFyjenoZ03oaGdN7mFyjdCDAjV5fDKBhD_jY-VAw"",""country"":""ZA"",""eventType"":""mlt"",""host"":""rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com"",""ip"":""102.254.144.25"",""lat"":""-26.20"",""long"":""28.08"",""method"":""GET"",""path"":""/related?genres=Biography%2CHistorical+Drama\u0026maxRating=MA+15%2B\u0026nonKids=true\u0026source=1615456\u0026vendor=google"",""profileID"":"""",""referer"":""https://www.stan.com.au/watch/12-years-a-slave-2013"",""resultCount"":0,""seedId"":1615456,""serverTime"":1767650005916,""sessionAppName"":"""",""time"":""2026-01-05T21:53:25.916871174Z"",""userID"":"""",""user_agent_raw"":""Mozilla/5.0 (Linux; Android 11; itel P661W Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.4606.85 Mobile Safari/537.36"",""vendor"":""google""}"
1767650104077,"Jan  5 21:55:03 ip-10-1-147-153 rec[5218]: {""asn"":""1221"",""city"":""SYDNEY"",""clientIP"":""110.141.37.40"",""correlationID"":""ChE1MTczODE3NzQ5Nzg3MTI3MRolc3Rhbi1tb3JlLWxpa2UtdGhpcy1jdnJfMTY4OTg5NDgyNzY3OCILbWx0LWN2ci1zcnYoADACOhChoZ03p6GdN7OFyje5hco3QgwIt-bwygYQl8T33AI"",""country"":""AU"",""eventType"":""mlt"",""host"":""rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com"",""ip"":""110.141.37.40"",""lat"":""-33.88"",""long"":""151.22"",""method"":""GET"",""path"":""/related?genres=Horror%2CFantasy\u0026maxRating=MA+15%2B\u0026nonKids=true\u0026source=4260710\u0026vendor=google"",""profileID"":"""",""referer"":""https://www.stan.com.au/watch/it-chapter-two-2019"",""region"":""NSW"",""resultCount"":0,""seedId"":4260710,""serverTime"":1767650103798,""sessionAppName"":"""",""time"":""2026-01-05T21:55:03.798893953Z"",""userID"":"""",""user_agent_raw"":""Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/143.0.7499.151 Mobile/15E148 Safari/604.1"",""vendor"":""google""}"
1767650112290,"Jan  5 21:55:12 ip-10-1-152-68 rec[5120]: {""asn"":""133612"",""city"":""PERTH"",""clientIP"":""120.23.168.208"",""correlationID"":"""",""country"":""AU"",""eventType"":""mlt"",""host"":""rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com"",""ip"":""120.23.168.208, 104.98.3.79, 23.55.222.78"",""lat"":""-31.93"",""long"":""115.83"",""method"":""GET"",""path"":""/related?genres=Comedy%2CSitcom\u0026maxRating=PG\u0026source=12027\u0026tz=Australia%2FPerth"",""profileID"":"""",""referer"":"""",""region"":""WA"",""resultCount"":0,""seedId"":12027,""serverTime"":1767650112012,""sessionAppName"":"""",""time"":""2026-01-05T21:55:12.012117827Z"",""userID"":"""",""user_agent_raw"":""Dalvik/2.1.0 (Linux; U; Android 9; KoganTVAP Build/PTO7.200925.001)"",""vendor"":""stan""}"
1767650213568,"Jan  5 21:56:53 ip-10-1-147-153 rec[5218]: {""asn"":""9443"",""city"":""MELBOURNE"",""clientIP"":""58.179.148.234"",""correlationID"":"""",""country"":""AU"",""eventType"":""mlt"",""host"":""rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com"",""ip"":""58.179.148.234, 184.84.238.17, 23.62.36.181"",""lat"":""-37.82"",""long"":""144.97"",""method"":""GET"",""path"":""/related?genres=Family%2CAnimation\u0026kids=true\u0026maxRating=G\u0026source=2306690\u0026tz=Australia%2FMelbourne"",""profileID"":"""",""referer"":"""",""region"":""VIC"",""resultCount"":0,""seedId"":2306690,""serverTime"":1767650213285,""sessionAppName"":"""",""time"":""2026-01-05T21:56:53.285723957Z"",""userID"":"""",""user_agent_raw"":""Dalvik/2.1.0 (Linux; U; Android 14; Chromecast Build/UTTC.250917.004)"",""vendor"":""stan""}"
1767650344158,"Jan  5 21:59:03 ip-10-1-177-227 rec[5186]: {""asn"":""22085"",""city"":""FORTALEZA"",""clientIP"":""191.247.4.90"",""correlationID"":""ChQxMjc0OTY0NDU5MTQxNzgwMTg0Mxolc3Rhbi1tb3JlLWxpa2UtdGhpcy1jdnJfMTY4OTg5NDgyNzY3OCILbWx0LWN2ci1zcnYoADACOhC0hco3oaGdN7qFyjenoZ03QgsImeXwygYQo_-1JA"",""country"":""BR"",""eventType"":""mlt"",""host"":""rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com"",""ip"":""191.247.4.90"",""lat"":""-3.72"",""long"":""-38.50"",""method"":""GET"",""path"":""/related?genres=Comedy%2CRomance\u0026maxRating=M\u0026nonKids=true\u0026source=1709228\u0026vendor=google"",""profileID"":"""",""referer"":""https://www.stan.com.au/watch/just-go-with-it-2011"",""region"":""CE"",""resultCount"":0,""seedId"":1709228,""serverTime"":1767650343748,""sessionAppName"":"""",""time"":""2026-01-05T21:59:03.748930091Z"",""userID"":"""",""user_agent_raw"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36"",""vendor"":""google""}"
1767650372210,"Jan  5 21:59:31 ip-10-1-208-191 rec[5041]: {""asn"":""134283"",""city"":""CHINCHVAD"",""clientIP"":""103.186.18.33"",""correlationID"":""ChQxNjQwODc5OTM0MTk4NTkzMTExMRolc3Rhbi1tb3JlLWxpa2UtdGhpcy1jdnJfMTY4OTg5NDgyNzY3OCILbWx0LWN2ci1zcnYoADACOhChoZ03s4XKN6ehnTe5hco3QgwIw-jwygYQuZe89QI"",""country"":""IN"",""eventType"":""mlt"",""host"":""rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com"",""ip"":""103.186.18.33"",""lat"":""18.62"",""long"":""73.78"",""method"":""GET"",""path"":""/related?genres=Biography%2CCrime\u0026maxRating=MA+15%2B\u0026nonKids=true\u0026source=2326669\u0026vendor=google"",""profileID"":"""",""referer"":""https://www.stan.com.au/watch/get-rich-or-die-tryin-2005"",""region"":""MH"",""resultCount"":0,""seedId"":2326669,""serverTime"":1767650371850,""sessionAppName"":"""",""time"":""2026-01-05T21:59:31.850203273Z"",""userID"":"""",""user_agent_raw"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36"",""vendor"":""google""}"
1767650410007,"Jan  5 22:00:09 ip-10-1-147-153 rec[5218]: {""asn"":""1221"",""city"":""PERTH"",""clientIP"":""58.160.155.79"",""correlationID"":"""",""country"":""AU"",""eventType"":""mlt"",""host"":""rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com"",""ip"":""58.160.155.79, 184.86.223.83, 23.55.222.78"",""lat"":""-31.93"",""long"":""115.83"",""method"":""GET"",""path"":""/related?genres=Comedy%2CAction\u0026maxRating=MA+15%2B\u0026nonKids=true\u0026source=5089602\u0026tz=Australia%2FPerth"",""profileID"":"""",""referer"":"""",""region"":""WA"",""resultCount"":0,""seedId"":5089602,""serverTime"":1767650409489,""sessionAppName"":"""",""time"":""2026-01-05T22:00:09.489476252Z"",""userID"":"""",""user_agent_raw"":""Dalvik/2.1.0 (Linux; U; Android 12; Smart TV Pro Build/STT2.230203.001)"",""vendor"":""stan""}"
1767650430697,"Jan  5 22:00:30 ip-10-1-141-7 rec[5445]: {""asn"":""37075"",""city"":""KAMPALA"",""clientIP"":""197.239.11.242"",""correlationID"":""ChQxMzUzMDE2NzM0NzcwNTAyMjM5NBolc3Rhbi1tb3JlLWxpa2UtdGhpcy1jdnJfMTY4OTg5NDgyNzY3OCILbWx0LWN2ci1zcnYoADACOhCioZ03uoXKN7SFyjeooZ03QgsI_ujwygYQ0YndNw"",""country"":""UG"",""eventType"":""mlt"",""host"":""rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com"",""ip"":""197.239.11.242"",""lat"":""0.32"",""long"":""32.58"",""method"":""GET"",""path"":""/related?genres=Romance%2CDrama\u0026maxRating=M\u0026nonKids=true\u0026source=5477473\u0026vendor=google"",""profileID"":"""",""referer"":""https://www.stan.com.au/watch/after-we-collided-2020"",""resultCount"":0,""seedId"":5477473,""serverTime"":1767650430184,""sessionAppName"":"""",""time"":""2026-01-05T22:00:30.184655974Z"",""userID"":"""",""user_agent_raw"":""Mozilla/5.0 (Linux; U; Android 9; en-ug; ANE-LX2J Build/HUAWEIANE-LX2J) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.7204.179 Mobile Safari/537.36 PHX/20.2"",""vendor"":""google""}"
